Image_A,Image_B,SSIM_Score
anemo_0_07.26_20.08.33._10.jpg,anemo_0_07.26_20.08.33._4.jpg,0.9436813248972101
anemo_0_07.24_12.56.33_20.jpg,anemo_0_07.24_12.56.33_19.jpg,0.9027264621954354
anemo_0_07.24_22.08.33._25.jpg,anemo_0_07.24_22.08.33._12.jpg,0.9345433453927172
anemo_0_08.21_15.26.33_34.jpg,anemo_0_08.21_15.26.33_47.jpg,0.9131428949731912
anemo_0_07.25_13.08.33._4.jpg,anemo_0_07.25_13.08.33._0.jpg,0.9326811725724824
anemo_0_07.24_11.08.33._0.jpg,anemo_0_07.24_11.08.33._10.jpg,0.9595015115697002
anemo_0_08.21_15.26.33_50.jpg,anemo_0_08.21_15.26.33_47.jpg,0.9143308896448716
anemo_0_07.23_22.08.33._19.jpg,anemo_0_07.23_22.08.33._1.jpg,0.9106328377901817
selected_frame_748536.jpg,selected_frame_284928.jpg,0.922270060984232
anemo_0_07.27_21.26.33_2.jpg,anemo_0_07.27_21.26.33_10.jpg,0.9302689290094636
anemo_0_08.21_15.26.33_35.jpg,anemo_0_08.21_15.26.33_44.jpg,0.9138411653242126
anemo_0_07.27_11.26.33_1.jpg,anemo_0_07.27_11.26.33_10.jpg,0.9111892747031746
selected_frame_437673.jpg,selected_frame_165540.jpg,0.9208497138718008
anemo_0_07.23_22.08.33._22.jpg,anemo_0_07.23_22.08.33._10.jpg,0.919860861843319
anemo_0_08.22_16.56.54_32.jpg,anemo_0_08.22_16.56.54_23.jpg,0.9041977185436225
anemo_0_07.24_14.56.33_7.jpg,anemo_0_07.24_14.56.33_9.jpg,0.9140516076622321
anemo_0_07.23_10.26.33_0.jpg,anemo_0_07.23_10.26.33_7.jpg,0.9400502464749483
anemo_0_07.29_18.56.33_18.jpg,anemo_0_07.29_18.56.33_26.jpg,0.9277844081018761
anemo-05_2.56.5.jpg,anemo-05_2.56.6.jpg,0.922219811086405
anemo_0_07.25_17.38.33._3.jpg,anemo_0_07.25_17.38.33._10.jpg,0.9114237962669817
anemo_0_07.23_19.56.33_8.jpg,anemo_0_07.23_19.56.33_33.jpg,0.93050007352974
anemo_0_07.20_15.38.33._32.jpg,anemo_0_07.20_15.38.33._46.jpg,0.9151277781236316
anemo_0_07.29_16.26.33_2.jpg,anemo_0_07.29_16.26.33_47.jpg,0.9304739885222002
selected_frame_919769.jpg,selected_frame_88130.jpg,0.929312562566422
anemo_0_07.29_16.26.33_15.jpg,anemo_0_07.29_16.26.33_30.jpg,0.9350648035552366
anemo_0_07.27_15.56.33_34.jpg,anemo_0_07.27_15.56.33_6.jpg,0.9208884958073728
selected_frame_973115.jpg,selected_frame_698139.jpg,0.9083090801633439
anemo_0_07.24_10.56.33_21.jpg,anemo_0_07.24_10.56.33_6.jpg,0.9294170519673534
anemo_0_07.24_17.08.33._29.jpg,anemo_0_07.24_17.08.33._52.jpg,0.9087100765541186
anemo_0_07.24_10.56.33_1.jpg,anemo_0_07.24_10.56.33_12.jpg,0.9385203151653195
anemo_0_07.24_22.08.33._6.jpg,anemo_0_07.24_22.08.33._4.jpg,0.9311011450837687
anemo_0_07.29_18.26.33_40.jpg,anemo_0_07.29_18.26.33_10.jpg,0.9388469127729604
anemo_0_07.26_13.08.33._6.jpg,anemo_0_07.26_13.08.33._26.jpg,0.9468102264345113
anemo_0_07.25_17.38.33._16.jpg,anemo_0_07.25_17.38.33._10.jpg,0.916113390408015
selected_frame_121426.jpg,selected_frame_549220.jpg,0.912066940697378
anemo_0_07.29_15.26.33_13.jpg,anemo_0_07.29_15.26.33_14.jpg,0.9235774023340291
anemo_0_07.23_20.08.33._1.jpg,anemo_0_07.23_20.08.33._18.jpg,0.9219026430903187
anemo_0_07.23_21.08.33._8.jpg,anemo_0_07.23_21.08.33._15.jpg,0.9316771125645706
anemo_0_07.29_18.56.33_28.jpg,anemo_0_07.29_18.56.33_20.jpg,0.9347220034310608
selected_frame_286194.jpg,selected_frame_732360.jpg,0.9075315615630661
