Cluster,Class,Count,Percentage of class (%)
595,4,11,1.13
595,6,3,0.49
596,2,24,0.46
597,2,11,0.21
597,6,1,0.16
598,1,17,0.09
598,2,1,0.02
599,2,2,0.04
599,3,42,1.1
599,4,22,2.26
599,6,2,0.33
599,9,3,1.48
600,1,12,0.06
600,6,1,0.16
601,1,53,0.29
601,2,1,0.02
602,1,38,0.2
603,2,60,1.14
603,6,1,0.16
604,2,22,0.42
605,2,10,0.19
606,2,43,0.82
606,7,1,0.18
607,2,39,0.74
607,7,1,0.18
608,2,19,0.36
609,1,1,0.01
609,3,13,0.34
609,4,1,0.1
609,6,4,0.65
609,7,15,2.73
610,2,19,0.36
610,3,1,0.03
610,4,2,0.21
610,6,19,3.1
610,8,1,0.39
610,9,6,2.96
611,2,18,0.34
612,2,48,0.92
613,1,1,0.01
613,2,16,0.31
613,3,1,0.03
614,1,1,0.01
614,2,2,0.04
614,3,27,0.71
614,4,1,0.1
615,1,1,0.01
615,2,4,0.08
615,3,22,0.58
616,2,38,0.73
616,4,1,0.1
616,6,2,0.33
617,2,1,0.02
617,3,13,0.34
617,5,1,0.14
618,1,1,0.01
618,3,39,1.03
618,6,1,0.16
619,2,28,0.53
619,3,3,0.08
620,1,1,0.01
620,2,15,0.29
621,2,1,0.02
621,4,1,0.1
621,7,23,4.19
622,2,47,0.9
623,1,13,0.07
624,2,22,0.42
624,3,6,0.16
624,4,1,0.1
624,5,1,0.14
624,6,2,0.33
624,7,1,0.18
625,2,19,0.36
625,4,1,0.1
626,1,7,0.04
626,2,2,0.04
626,3,3,0.08
626,4,9,0.93
626,6,4,0.65
627,1,1,0.01
627,3,1,0.03
627,5,57,8.14
628,2,1,0.02
628,5,9,1.29
629,2,1,0.02
629,3,28,0.74
630,2,15,0.29
630,3,1,0.03
631,1,21,0.11
632,1,11,0.06
633,1,35,0.19
633,2,11,0.21
634,1,50,0.27
635,2,59,1.13
636,2,27,0.52
636,3,11,0.29
636,4,9,0.93
636,6,6,0.98
636,8,1,0.39
636,9,3,1.48
637,1,33,0.18
638,1,12,0.06
638,3,10,0.26
638,4,3,0.31
638,7,2,0.36
639,1,29,0.16
640,1,17,0.09
641,2,25,0.48
641,3,1,0.03
641,6,1,0.16
642,1,48,0.26
643,1,21,0.11
644,2,4,0.08
644,3,8,0.21
645,1,19,0.1
645,2,36,0.69
645,3,5,0.13
645,4,2,0.21
645,6,1,0.16
646,2,25,0.48
647,1,15,0.08
648,5,10,1.43
649,6,6,0.98
649,8,34,13.23
649,9,6,2.96
650,2,12,0.23
650,6,1,0.16
651,2,30,0.57
652,1,10,0.05
653,2,3,0.06
653,3,2,0.05
653,7,11,2.0
654,2,7,0.13
654,4,10,1.03
654,6,1,0.16
654,8,25,9.73
654,9,1,0.49
655,3,17,0.45
656,1,35,0.19
656,4,7,0.72
656,5,4,0.57
656,7,1,0.18
657,1,51,0.28
657,2,3,0.06
657,4,2,0.21
657,6,1,0.16
658,2,9,0.17
658,4,11,1.13
658,6,1,0.16
659,1,1,0.01
659,2,60,1.14
659,3,22,0.58
659,4,1,0.1
660,1,7,0.04
660,3,6,0.16
661,1,28,0.15
661,2,2,0.04
661,3,54,1.42
661,7,4,0.73
662,4,11,1.13
662,9,1,0.49
663,1,64,0.35
664,3,8,0.21
664,7,7,1.28
665,2,1,0.02
665,3,54,1.42
666,3,19,0.5
667,3,16,0.42
668,1,1,0.01
668,3,3,0.08
668,4,45,4.63
668,5,5,0.71
668,6,2,0.33
668,9,3,1.48
669,1,42,0.23
670,1,13,0.07
671,3,24,0.63
671,5,3,0.43
671,7,4,0.73
672,3,1,0.03
672,7,28,5.1
673,3,41,1.08
673,4,1,0.1
673,7,1,0.18
674,3,29,0.76
674,7,3,0.55
675,4,4,0.41
675,6,18,2.94
675,9,37,18.23
676,1,74,0.4
677,1,8,0.04
677,5,14,2.0
678,1,20,0.11
678,3,3,0.08
678,4,1,0.1
678,5,108,15.43
678,7,1,0.18
679,3,7,0.18
679,5,1,0.14
679,7,5,0.91
680,4,4,0.41
680,6,43,7.01
680,9,5,2.46
681,1,11,0.06
682,4,14,1.44
682,6,3,0.49
682,9,1,0.49
683,4,12,1.23
684,3,10,0.26
684,7,6,1.09
685,3,22,0.58
686,1,39,0.21
687,1,14,0.08
688,1,35,0.19
689,1,15,0.08
690,1,44,0.24
691,1,46,0.25
692,1,11,0.06
693,1,114,0.61
694,1,19,0.1
695,1,266,1.43
696,1,37,0.2
697,1,31,0.17
