Cluster,Class,Count,Percentage of class (%)
635,4,3,0.31
635,7,1,0.18
636,1,1,0.01
636,3,58,1.53
636,4,1,0.1
636,7,14,2.55
637,2,2,0.04
637,3,14,0.37
637,4,1,0.1
637,6,1,0.16
637,7,1,0.18
638,1,1,0.01
638,3,20,0.53
638,4,1,0.1
638,7,5,0.91
639,1,1,0.01
639,4,1,0.1
639,5,38,5.43
640,1,1,0.01
640,4,5,0.51
640,5,73,10.43
640,6,10,1.63
641,3,15,0.39
642,3,2,0.05
642,7,32,5.83
643,1,28,0.15
644,1,68,0.37
645,1,72,0.39
646,1,37,0.2
647,1,31,0.17
648,1,62,0.33
649,1,44,0.24
650,1,20,0.11
651,1,25,0.13
652,1,103,0.56
652,4,3,0.31
653,1,32,0.17
654,1,32,0.17
655,1,12,0.06
656,1,20,0.11
657,1,16,0.09
658,1,14,0.08
659,1,18,0.1
660,1,18,0.1
661,1,46,0.25
661,3,1,0.03
662,1,23,0.12
663,1,53,0.29
664,1,41,0.22
665,1,12,0.06
666,1,23,0.12
667,1,26,0.14
668,1,18,0.1
669,1,15,0.08
670,1,23,0.12
671,1,12,0.06
672,1,48,0.26
672,2,1,0.02
672,3,5,0.13
672,5,2,0.29
673,1,17,0.09
674,1,11,0.06
675,1,25,0.13
676,1,38,0.2
677,1,22,0.12
678,1,13,0.07
679,1,25,0.13
680,1,23,0.12
681,1,27,0.15
682,1,13,0.07
683,1,12,0.06
684,1,47,0.25
685,1,45,0.24
686,1,28,0.15
686,3,1,0.03
687,1,245,1.32
687,4,1,0.1
687,5,1,0.14
688,1,69,0.37
689,1,54,0.29
690,1,14,0.08
691,1,124,0.67
692,1,24,0.13
693,1,70,0.38
693,2,1,0.02
693,5,1,0.14
694,1,44,0.24
695,1,26,0.14
696,1,24,0.13
697,1,46,0.25
698,1,13,0.07
699,1,30,0.16
700,1,36,0.19
701,1,17,0.09
702,1,10,0.05
703,1,14,0.08
704,1,15,0.08
705,1,27,0.15
706,1,22,0.12
707,1,12,0.06
708,1,14,0.08
709,1,27,0.15
710,1,75,0.4
711,1,10,0.05
712,1,12,0.06
713,1,25,0.13
714,1,116,0.63
714,2,1,0.02
715,1,18,0.1
716,1,18,0.1
717,1,69,0.37
718,1,13,0.07
718,7,1,0.18
719,1,28,0.15
720,1,56,0.3
721,1,49,0.26
722,1,10,0.05
723,1,21,0.11
724,1,54,0.29
725,1,12,0.06
726,1,18,0.1
727,1,22,0.12
728,1,28,0.15
729,1,58,0.31
730,1,26,0.14
