Cluster,Class,Count,Percentage of class (%)
549,4,33,3.4
550,1,11,0.06
551,1,16,0.09
552,1,5,0.03
552,2,1,0.02
552,3,68,1.79
552,4,1,0.1
552,6,1,0.16
552,7,14,2.55
553,4,5,0.51
553,6,15,2.45
553,9,4,1.97
554,1,50,0.27
555,2,33,0.63
556,2,37,0.71
557,1,1,0.01
557,3,59,1.55
558,3,11,0.29
559,3,31,0.82
559,6,1,0.16
560,3,41,1.08
561,2,1,0.02
561,3,35,0.92
562,1,1,0.01
562,2,15,0.29
563,1,17,0.09
563,2,21,0.4
564,4,3,0.31
564,6,24,3.92
564,9,2,0.99
565,3,17,0.45
566,3,22,0.58
567,1,41,0.22
568,3,23,0.6
569,3,39,1.03
570,1,10,0.05
571,4,1,0.1
571,6,10,1.63
571,9,26,12.81
572,4,10,1.03
572,6,45,7.34
572,8,2,0.78
572,9,53,26.11
573,2,7,0.13
573,3,10,0.26
574,1,26,0.14
575,2,39,0.74
575,6,1,0.16
576,1,12,0.06
577,3,51,1.34
578,1,1,0.01
578,3,19,0.5
579,1,11,0.06
580,2,21,0.4
581,1,18,0.1
582,1,26,0.14
582,5,1,0.14
583,1,13,0.07
584,1,27,0.15
585,2,46,0.88
585,3,1,0.03
586,2,54,1.03
587,2,20,0.38
588,3,3,0.08
588,4,9,0.93
588,6,8,1.31
588,9,2,0.99
589,2,5,0.1
589,4,3,0.31
589,6,3,0.49
590,4,6,0.62
590,6,25,4.08
590,9,10,4.93
591,1,21,0.11
592,2,58,1.11
592,3,2,0.05
592,7,1,0.18
593,1,1,0.01
593,2,1,0.02
593,3,31,0.82
593,4,3,0.31
593,6,1,0.16
594,3,14,0.37
594,4,1,0.1
595,3,10,0.26
596,2,2,0.04
596,3,12,0.32
597,2,25,0.48
597,3,7,0.18
597,4,1,0.1
597,7,1,0.18
598,2,1,0.02
598,3,37,0.97
598,6,1,0.16
598,7,1,0.18
599,2,18,0.34
600,3,29,0.76
601,2,13,0.25
601,3,27,0.71
602,2,43,0.82
603,2,33,0.63
604,1,37,0.2
604,2,2,0.04
604,4,8,0.82
604,5,1,0.14
604,6,1,0.16
605,1,48,0.26
605,4,1,0.1
606,1,27,0.15
607,1,28,0.15
608,2,21,0.4
609,2,24,0.46
610,4,11,1.13
611,1,18,0.1
612,1,16,0.09
613,4,1,0.1
613,6,26,4.24
613,9,1,0.49
614,4,30,3.09
614,6,8,1.31
615,2,3,0.06
615,3,12,0.32
615,4,1,0.1
616,1,14,0.08
617,1,31,0.17
617,3,1,0.03
617,4,1,0.1
618,1,18,0.1
618,2,1,0.02
619,2,18,0.34
620,1,25,0.13
621,2,29,0.55
622,2,33,0.63
623,1,12,0.06
624,1,25,0.13
625,1,1,0.01
625,2,1,0.02
625,3,43,1.13
625,5,1,0.14
625,7,2,0.36
626,1,34,0.18
627,1,16,0.09
627,4,1,0.1
628,1,84,0.45
628,3,2,0.05
629,2,14,0.27
630,1,22,0.12
631,3,10,0.26
631,7,8,1.46
632,1,12,0.06
633,1,60,0.32
634,1,99,0.53
635,1,16,0.09
636,2,15,0.29
637,1,53,0.29
638,3,36,0.95
639,2,1,0.02
639,3,11,0.29
640,2,10,0.19
641,2,14,0.27
642,2,21,0.4
643,2,37,0.71
644,3,15,0.39
644,7,1,0.18
645,1,36,0.19
646,1,17,0.09
647,1,11,0.06
648,1,12,0.06
648,2,1,0.02
648,4,1,0.1
648,6,1,0.16
649,2,1,0.02
649,3,12,0.32
650,2,4,0.08
650,3,27,0.71
650,7,5,0.91
651,1,21,0.11
652,1,32,0.17
652,3,1,0.03
