Cluster,Class,Count,Percentage of class (%)
552,2,1,0.02
553,1,24,0.13
554,2,55,1.05
554,3,1,0.03
555,1,41,0.22
555,2,4,0.08
555,3,2,0.05
555,4,1,0.1
556,1,25,0.13
557,1,1,0.01
557,2,14,0.27
557,3,1,0.03
557,4,11,1.13
557,5,10,1.43
557,6,8,1.31
558,1,24,0.13
559,1,14,0.08
560,1,11,0.06
561,1,13,0.07
562,1,25,0.13
563,1,1,0.01
563,2,1,0.02
563,3,35,0.92
563,4,4,0.41
563,7,1,0.18
564,1,30,0.16
564,2,67,1.28
564,3,148,3.89
564,4,12,1.23
564,5,3,0.43
564,6,17,2.77
564,7,11,2.0
565,1,28,0.15
566,1,11,0.06
567,1,22,0.12
568,1,26,0.14
569,1,18,0.1
570,1,22,0.12
571,2,21,0.4
571,3,21,0.55
571,4,1,0.1
571,6,1,0.16
572,1,15,0.08
572,3,2,0.05
573,1,37,0.2
574,1,21,0.11
575,3,55,1.45
575,4,4,0.41
575,7,4,0.73
576,4,2,0.21
576,5,1,0.14
576,6,11,1.79
577,1,3,0.02
577,2,13,0.25
577,4,1,0.1
578,1,38,0.2
578,3,18,0.47
578,4,9,0.93
578,5,198,28.29
578,6,11,1.79
578,7,21,3.83
578,9,1,0.49
579,1,32,0.17
579,2,1,0.02
579,4,1,0.1
580,1,16,0.09
580,3,2,0.05
580,4,1,0.1
580,7,17,3.1
581,3,13,0.34
581,7,1,0.18
582,3,29,0.76
583,4,4,0.41
583,5,79,11.29
583,6,1,0.16
584,1,1,0.01
584,4,2,0.21
584,5,30,4.29
584,6,2,0.33
585,1,12,0.06
586,1,36,0.19
587,1,26,0.14
587,2,1,0.02
587,5,1,0.14
588,1,3,0.02
588,2,13,0.25
589,1,40,0.22
590,2,2,0.04
590,3,24,0.63
590,4,1,0.1
590,6,1,0.16
591,3,30,0.79
591,4,1,0.1
591,6,5,0.82
591,7,31,5.65
592,2,13,0.25
592,3,1,0.03
592,7,1,0.18
593,1,35,0.19
594,3,15,0.39
594,7,1,0.18
595,1,32,0.17
596,3,23,0.6
596,6,2,0.33
596,7,28,5.1
597,1,1,0.01
597,2,3,0.06
597,3,39,1.03
597,5,1,0.14
597,7,1,0.18
598,1,30,0.16
599,1,62,0.33
600,1,16,0.09
601,1,22,0.12
602,1,37,0.2
603,1,14,0.08
604,1,19,0.1
605,1,12,0.06
606,1,19,0.1
607,1,21,0.11
608,1,28,0.15
609,1,12,0.06
610,1,60,0.32
611,1,24,0.13
611,4,1,0.1
612,1,18,0.1
613,1,13,0.07
613,4,1,0.1
614,1,32,0.17
615,1,25,0.13
616,1,101,0.54
616,4,2,0.21
616,5,1,0.14
616,8,1,0.39
617,1,19,0.1
618,1,31,0.17
619,1,17,0.09
619,4,1,0.1
620,1,17,0.09
621,1,115,0.62
621,2,24,0.46
621,3,8,0.21
621,4,7,0.72
621,5,1,0.14
621,8,1,0.39
622,1,92,0.5
623,1,23,0.12
624,1,22,0.12
624,5,1,0.14
625,1,35,0.19
626,1,13,0.07
627,1,36,0.19
628,1,26,0.14
629,1,29,0.16
630,1,15,0.08
631,1,17,0.09
632,1,21,0.11
633,1,27,0.15
634,1,16,0.09
635,1,20,0.11
636,1,19,0.1
637,1,21,0.11
638,1,27,0.15
639,1,25,0.13
640,1,22,0.12
641,1,12,0.06
642,1,40,0.22
643,1,16,0.09
644,1,45,0.24
645,1,21,0.11
646,1,34,0.18
647,1,49,0.26
648,1,53,0.29
649,1,12,0.06
650,1,32,0.17
651,1,19,0.1
652,1,16,0.09
653,1,63,0.34
654,1,19,0.1
654,7,1,0.18
655,1,22,0.12
656,1,40,0.22
657,1,32,0.17
658,1,33,0.18
659,1,13,0.07
660,1,18,0.1
661,1,24,0.13
662,1,15,0.08
663,1,21,0.11
664,1,43,0.23
665,1,25,0.13
666,1,15,0.08
667,1,25,0.13
668,1,39,0.21
668,2,1,0.02
668,3,1,0.03
669,1,106,0.57
670,1,70,0.38
670,4,2,0.21
670,5,5,0.71
670,9,1,0.49
671,1,17,0.09
672,1,25,0.13
673,1,36,0.19
674,1,12,0.06
675,1,26,0.14
676,1,36,0.19
676,4,1,0.1
677,1,27,0.15
678,1,34,0.18
679,1,17,0.09
680,1,55,0.3
681,1,55,0.3
682,1,17,0.09
682,2,1,0.02
683,1,11,0.06
684,1,56,0.3
685,1,68,0.37
685,2,1,0.02
686,1,29,0.16
687,1,22,0.12
688,1,38,0.2
689,1,67,0.36
690,1,44,0.24
691,1,28,0.15
692,1,22,0.12
693,1,20,0.11
694,1,14,0.08
695,1,28,0.15
696,1,10,0.05
697,1,28,0.15
698,1,83,0.45
699,1,19,0.1
700,1,12,0.06
701,1,21,0.11
702,1,39,0.21
703,1,13,0.07
704,1,17,0.09
705,1,30,0.16
706,1,20,0.11
707,1,14,0.08
708,1,20,0.11
709,1,48,0.26
710,1,54,0.29
711,1,16,0.09
712,1,50,0.27
